mirna	target_gene	score
hsa-miR-4470	GNB4	0.9309191
hsa-miR-548j-3p	PALM2AKAP2	0.9309023
hsa-miR-4328	PALM2AKAP2	0.9308753
hsa-miR-20b-5p	PBX3	0.9308181
hsa-miR-548x-3p	ARHGAP29	0.9307398
hsa-miR-196a-1-3p	SEMA6A	0.93067557
hsa-miR-511-5p	SDK1	0.9306519
hsa-miR-548aj-3p	FGFR3	0.9306477
hsa-miR-5690	TIMP3	0.9306283
hsa-miR-548j-3p	RBM47	0.9305098
hsa-miR-1277-5p	PLXDC2	0.93037736
hsa-miR-548n	THSD7A	0.93035674
hsa-miR-3167	CWF19L1	0.93031967
hsa-miR-23c	ROBO1	0.9302804
hsa-miR-548j-3p	PHACTR2	0.93026274
hsa-miR-605-5p	PHACTR2	0.9302245
hsa-miR-6839-3p	SPRED3	0.9302227
hsa-miR-12123	PBX3	0.93020546
hsa-miR-548ay-5p	THSD7A	0.93015784
hsa-miR-92b-3p	COL27A1	0.9301435
hsa-miR-3140-3p	SEMA6A	0.93007195
hsa-miR-23c	TGIF1	0.9300151
hsa-miR-3167	LPP	0.93000716
hsa-miR-8085	SDC3	0.92999655
hsa-miR-5582-5p	XYLT1	0.9299883
hsa-miR-2117	RASSF3	0.9299803
hsa-miR-4700-5p	NHLH1	0.92993957
hsa-miR-548ad-5p	TMTC1	0.92989296
hsa-miR-4495	NOTCH3	0.92982453
hsa-miR-3658	BACE2	0.92970455
hsa-miR-6785-5p	FLT4	0.92968655
hsa-miR-4728-5p	CSF1R	0.9296262
hsa-miR-205-3p	GPC6	0.92959267
hsa-miR-548j-5p	TMTC1	0.9295771
hsa-miR-888-5p	KCTD12	0.9295767
hsa-miR-548ap-3p	TOX	0.9295569
hsa-miR-6715b-5p	IGDCC4	0.9295027
hsa-miR-24-3p	MT1M	0.9294621
hsa-miR-3662	LOX	0.9294556
hsa-miR-24-3p	LOX	0.92942345
hsa-miR-548i	JARID2	0.9294123
hsa-miR-548ap-3p	WNT5A	0.92937887
hsa-miR-548c-3p	COL27A1	0.9293677
hsa-let-7f-5p	MASP1	0.92934746
hsa-miR-548ae-3p	SCG2	0.92932296
hsa-miR-223-3p	PRDM1	0.92930424
hsa-miR-4470	PIK3AP1	0.92919254
hsa-miR-206	CPED1	0.92917573
hsa-miR-92a-3p	ITGA8	0.92909735
hsa-miR-5100	MOXD1	0.9290634
hsa-miR-23a-3p	ZBTB2	0.92904854
hsa-miR-20b-5p	CD69	0.92903787
hsa-miR-4530	HPSE2	0.9290312
hsa-miR-155-5p	VAV3	0.92902964
hsa-miR-181b-5p	ABTB2	0.9289866
hsa-miR-3065-5p	ZNF516	0.9289859
hsa-miR-3065-5p	ROR1	0.92893046
hsa-miR-7852-3p	SOX6	0.92881906
hsa-miR-548x-3p	XYLT1	0.9287673
hsa-miR-376a-5p	ITK	0.92874616
hsa-miR-548d-5p	JARID2	0.92867035
hsa-miR-590-3p	PLXDC2	0.92863315
hsa-let-7f-1-3p	EMP2	0.92857325
hsa-miR-7154-3p	ATP1B2	0.9285416
hsa-miR-200b-3p	MAP3K1	0.92840636
hsa-miR-23c	FGF2	0.92838764
hsa-miR-33b-3p	PFN2	0.9283729
hsa-miR-23a-3p	HS3ST3A1	0.9283371
hsa-miR-4477a	MOXD1	0.9283178
hsa-miR-23a-3p	SIX4	0.92830896
hsa-miR-11181-3p	LINGO1	0.92820334
hsa-miR-5582-5p	KCNIP1	0.9281735
hsa-miR-6844	RBMS3	0.9281511
hsa-miR-1273h-5p	NID1	0.92811215
hsa-miR-6873-3p	PEG10	0.9281064
hsa-miR-23a-3p	FOXP2	0.9281053
hsa-miR-1277-5p	COBLL1	0.9280816
hsa-miR-200c-3p	ATP11C	0.9280529
hsa-miR-4262	ZNF124	0.92802364
hsa-miR-504-3p	GJC1	0.92790484
hsa-miR-548as-3p	TFRC	0.92786074
hsa-miR-429	NR5A2	0.9278238
hsa-miR-6838-5p	HSPG2	0.9276615
hsa-miR-513b-3p	NAMPT	0.9276377
hsa-miR-33a-3p	SDK1	0.9276228
hsa-miR-514b-5p	ITPR2	0.9275869
hsa-miR-6088	COL5A3	0.92757344
hsa-miR-548am-3p	TGFBR1	0.92753315
hsa-miR-6867-5p	SBK1	0.9274299
hsa-miR-936	MAP3K1	0.9273844
hsa-miR-23a-3p	JARID2	0.9273155
hsa-miR-6821-3p	IFI44L	0.92731506
hsa-miR-4524b-5p	CHAC1	0.9272669
hsa-miR-129-5p	COL1A1	0.9270817
hsa-miR-10522-5p	PALM2AKAP2	0.9270562
hsa-miR-135b-5p	IGF2BP2	0.9269925
hsa-miR-4760-5p	DLK1	0.9269836
hsa-miR-4684-5p	ANOS1	0.9269725
hsa-miR-23a-3p	CEMIP2	0.9268838
hsa-miR-10522-5p	PHACTR2	0.92688227
hsa-miR-5093	RBM47	0.9268804
hsa-miR-548j-3p	GNB4	0.92685485
hsa-miR-4728-5p	SHISA6	0.9268396
hsa-miR-3160-5p	PHACTR2	0.92683375
hsa-miR-4291	KCNIP1	0.92681295
hsa-miR-548i	FNDC3B	0.92677903
