mirna	Astrocyte	B_cell	CD4_T	CD8_T	Microglia	Monocyte	NK_cell	Oligodendrocyte	T_cell	Th17	Treg
hsa-miR-6841-3p	3.0055018214625306e-05	4.911474752589129e-05	5.099766713101417e-05	6.381308048730716e-05	2.851538738468662e-05	1.5082856407389045e-05	3.122665293631144e-05	3.067914440180175e-05	1.874872214102652e-05	2.0102168491575867e-05	1.2398908438626677e-05
hsa-miR-6841-5p	2.915811307957483e-07	2.8733791168633616e-07	3.3403910038032336e-07	1.551220066176029e-06	6.453366268033278e-07	1.510319862063625e-06	3.097739522672782e-07	2.838674788563367e-07	5.625798280561867e-07	5.220133516559144e-07	5.690963575943897e-07
hsa-miR-6842-3p	0.0019593331962823868	0.0017219620058313012	0.0007198182283900678	0.0022735190577805042	0.0011967391474172473	0.0020956238731741905	0.00243340153247118	0.0013541141524910927	0.001747314352542162	0.001079744310118258	0.002105408813804388
hsa-miR-6842-5p	2.9142784114810638e-05	1.8622695279191248e-05	4.6880879381205887e-05	3.927448051399551e-05	2.09672925848281e-05	1.710852302494459e-05	2.339360798941925e-05	3.128678508801386e-05	1.3048289474681951e-05	4.426703162607737e-05	1.340558628726285e-05
hsa-miR-6843-3p	3.904210825567134e-05	1.0649031537468545e-05	3.3857628295663744e-05	5.9533180319704115e-05	6.206170655786991e-05	5.850174784427509e-05	2.961695645353757e-05	4.3963053030893207e-05	9.744446288095787e-05	3.8582631532335654e-05	6.602674693567678e-05
hsa-miR-6844	0.041107676923274994	0.010574121959507465	0.05258013308048248	0.004447918850928545	0.013838501647114754	0.023551248013973236	0.02541394904255867	0.009750132448971272	0.013431055471301079	0.008271933533251286	0.003966279327869415
hsa-miR-6845-3p	1.565226739330683e-05	3.9385031413985416e-05	3.505657514324412e-05	5.767765469499864e-05	4.047516267746687e-05	8.612738383817486e-06	4.573048136080615e-05	2.3991884518181905e-05	2.3234868422150612e-05	1.4083404494158458e-05	2.3659138605580665e-05
hsa-miR-6845-5p	1.5562513908662368e-06	2.8497106541180983e-06	6.800141363783041e-06	2.1334781195037067e-06	3.7206336855888367e-06	1.708607783257321e-06	4.42022064817138e-06	3.914832632290199e-06	2.4325183858309174e-06	1.8620989976625424e-06	1.8049330492431181e-06
hsa-miR-6846-3p	2.158620020509261e-07	2.469109858793672e-07	1.9687811914081976e-07	1.7269815089093754e-07	2.0412760193266877e-07	1.1152445011930467e-07	1.7792464745980396e-07	2.409264538982825e-07	1.9189795352758665e-07	1.5025889865682984e-07	2.9599053164020006e-07
hsa-miR-6846-5p	2.1598949388135225e-05	7.67681012803223e-06	4.05080609198194e-05	1.4187788110575639e-05	7.742829438939225e-06	1.0129495422006585e-05	1.4951268894947134e-05	5.893773959542159e-06	9.623934602132067e-06	8.369051101908553e-06	1.7759844922693446e-05
hsa-miR-6847-3p	8.283392389785149e-07	1.7210386431543157e-06	1.7904463902596035e-06	2.1774812921648845e-06	1.1202866971871117e-06	2.4976127406262094e-06	3.6805449781240895e-06	6.836236821072816e-07	1.08351594008127e-06	1.030038333738048e-06	2.2079989321355242e-06
hsa-miR-6847-5p	3.148100859107217e-06	3.579506710593705e-06	8.256790351879317e-06	9.056665476236958e-06	2.6536986297287513e-06	2.3136390154832043e-06	2.7245164346823003e-06	3.91774165109382e-06	4.622314008884132e-06	3.315058620501077e-06	3.6444823763304157e-06
hsa-miR-6848-3p	3.744189234566875e-05	5.2780644182348624e-05	2.2026779333828017e-05	8.92840325832367e-05	7.062687473080587e-06	2.5977991754189134e-05	0.00015142574557103217	2.158284951292444e-05	2.7752030291594565e-05	1.5950772649375722e-05	3.656315311673097e-05
